accession_in_sys	type	subtype	species	sys_id	sys_beg	sys_end	duplicate_count	rank	defense_system_protein_id	defense_system_cluster_id	cluster_id	protein_id	evalue	cluFlag	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue_foldseek	bits	Reviewed	Entry Name	Protein names	Gene Names	Organism	Gene Names (ordered locus)	Gene Names (ORF)	Gene Names (primary)	Gene Names (synonym)	Proteomes	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	CDD	FunFam	Gene3D	InterPro	PANTHER	Pfam	PROSITE	SMART	RefSeq	Query_range	Query_length	Human_prot_total_length	Human_prot_domain_match	Human_domain_percentage	Query_percentage	Query_overlap_w_Human_protein	Human_domain_note	Human_domain_evidence	Target_range	Target_length	Bacterial_prot_total_length	Bacterial_prot_domain_match	Bacterial_domain_percentage	Target_percentage	Target_overlap_w_Bacterial_protein	Bacterial_domain_note	Bacterial_domain_evidence	Bacterial_Human_Len_Ratio	Query_Target_Overlap_Length	Overlap_ratio
WP_118501225.1	GasderMIN	GasderMIN	Aquimarina sp. AD10	GCF_003443715_NZ_CP031965_GasderMIN_1	GCF_003443715.1_NZ_CP031965_00745	GCF_003443715.1_NZ_CP031965_00745	1	202	A0A3A9VHL1	A0A4Q1CFA1	A0A2R8QV48	Q0ZLH3	0.00344	1	0.155	247	195	0	8	239	10	256	1.458E-09	227	reviewed	PJVK_HUMAN	Pejvakin (Autosomal recessive deafness type 59 protein)	PJVK DFNB59	Homo sapiens (Human)			PJVK	DFNB59	UP000005640: Chromosome 2	detection of mechanical stimulus involved in sensory perception of sound [GO:0050910]; pexophagy [GO:0000425]; programmed cell death in response to reactive oxygen species [GO:0097468]; regulation of peroxisome organization [GO:1900063]; response to reactive oxygen species [GO:0000302]; sensory perception of sound [GO:0007605]; stereocilium maintenance [GO:0120045]	ciliary rootlet [GO:0035253]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; neuronal cell body [GO:0043025]; peroxisomal membrane [GO:0005778]; stereocilium base [GO:0120044]	ciliary rootlet [GO:0035253]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; neuronal cell body [GO:0043025]; peroxisomal membrane [GO:0005778]; stereocilium base [GO:0120044]; detection of mechanical stimulus involved in sensory perception of sound [GO:0050910]; pexophagy [GO:0000425]; programmed cell death in response to reactive oxygen species [GO:0097468]; regulation of peroxisome organization [GO:1900063]; response to reactive oxygen species [GO:0000302]; sensory perception of sound [GO:0007605]; stereocilium maintenance [GO:0120045]		GO:0000302; GO:0000425; GO:0005737; GO:0005778; GO:0007605; GO:0030864; GO:0035253; GO:0043025; GO:0050910; GO:0097468; GO:0120044; GO:0120045; GO:1900063				"IPR040460; Gasdermin_pore.;""IPR042377; GSDME."";"	"PTHR15207; NONSYNDROMIC HEARING IMPAIRMENT PROTEIN; 1.;""PTHR15207:SF2; PEJVAKIN; 1."";"	PF04598; Gasdermin; 1.;			"NP_001036167.1; NM_001042702.5.;""NP_001356841.1; NM_001369912.1."";"	8.0..239.0	232	352							10.0..256.0	247	276							0.784090909	232	0.84057971
WP_118501225.1	GasderMIN	GasderMIN	Aquimarina sp. AD10	GCF_003443715_NZ_CP031965_GasderMIN_1	GCF_003443715.1_NZ_CP031965_00745	GCF_003443715.1_NZ_CP031965_00745	1	202	A0A3A9VHL1	A0A4Q1CFA1	A0A6I4AZW5	E6Y8C6	0.004637	1	0.132	157	114	0	84	240	43	174	0.0738	11	unreviewed	E6Y8C6_HUMAN	Perforin-1 (Cytolysin) (Lymphocyte pore-forming protein)	PRF1	Homo sapiens (Human)			PRF1			killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	extracellular region [GO:0005576]; membrane [GO:0016020]	extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]; killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]	GO:0001909; GO:0005509; GO:0005576; GO:0016020; GO:0031640; GO:0140911	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"		84.0..240.0	157	555	27..375	44.99	100.00	28.29	['MACPF']	['ECO:0000259|PROSITE:PS51412']	43.0..174.0	132	276							0.497297297	132	0.47826087
WP_118501225.1	GasderMIN	GasderMIN	Aquimarina sp. AD10	GCF_003443715_NZ_CP031965_GasderMIN_1	GCF_003443715.1_NZ_CP031965_00745	GCF_003443715.1_NZ_CP031965_00745	1	202	A0A3A9VHL1	A0A4Q1CFA1	A0A6I4AZW5	P14222	0.004637	1	0.112	213	143	0	28	240	13	174	0.08547	12	reviewed	PERF_HUMAN	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP)	PRF1 PFP	Homo sapiens (Human)			PRF1	PFP	UP000005640: Chromosome 10	apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]; apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]	GO:0001771; GO:0001772; GO:0001913; GO:0002357; GO:0002418; GO:0005509; GO:0005576; GO:0005829; GO:0005886; GO:0006915; GO:0006968; GO:0009306; GO:0016020; GO:0017038; GO:0022829; GO:0031640; GO:0031904; GO:0042802; GO:0044194; GO:0051260; GO:0051607; GO:0051712; GO:0071806; GO:0140507; GO:0140911; GO:1904856	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"	"NP_001076585.1; NM_001083116.3.;""NP_005032.2; NM_005041.4."";"	28.0..240.0	213	555	27..375	61.03	100.00	38.38	['MACPF']	['ECO:0000255|PROSITE-ProRule:PRU00745']	13.0..174.0	162	276							0.497297297	162	0.586956522
WP_012256777.1	GasderMIN	GasderMIN	Chloroflexus aurantiacus	GCF_000018865_NC_010175_GasderMIN_2	GCF_000018865.1_NC_010175_00928	GCF_000018865.1_NC_010175_00928	1	202	A0A7C2KPM7	A0A178BUB5	A0A6I4AZW5	E6Y8C6	0.008667	1	0.177	89	65	0	149	237	95	174	0.01874	17	unreviewed	E6Y8C6_HUMAN	Perforin-1 (Cytolysin) (Lymphocyte pore-forming protein)	PRF1	Homo sapiens (Human)			PRF1			killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	extracellular region [GO:0005576]; membrane [GO:0016020]	extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]; killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]	GO:0001909; GO:0005509; GO:0005576; GO:0016020; GO:0031640; GO:0140911	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"		149.0..237.0	89	555	27..375	25.50	100.00	16.04	['MACPF']	['ECO:0000259|PROSITE:PS51412']	95.0..174.0	80	288							0.518918919	80	0.277777778
WP_012256777.1	GasderMIN	GasderMIN	Chloroflexus aurantiacus	GCF_000018865_NC_010175_GasderMIN_2	GCF_000018865.1_NC_010175_00928	GCF_000018865.1_NC_010175_00928	1	202	A0A7C2KPM7	A0A178BUB5	A0A6I4AZW5	P14222	0.008667	1	0.125	203	150	0	35	237	3	174	0.01591	14	reviewed	PERF_HUMAN	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP)	PRF1 PFP	Homo sapiens (Human)			PRF1	PFP	UP000005640: Chromosome 10	apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]; apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]	GO:0001771; GO:0001772; GO:0001913; GO:0002357; GO:0002418; GO:0005509; GO:0005576; GO:0005829; GO:0005886; GO:0006915; GO:0006968; GO:0009306; GO:0016020; GO:0017038; GO:0022829; GO:0031640; GO:0031904; GO:0042802; GO:0044194; GO:0051260; GO:0051607; GO:0051712; GO:0071806; GO:0140507; GO:0140911; GO:1904856	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"	"NP_001076585.1; NM_001083116.3.;""NP_005032.2; NM_005041.4."";"	35.0..237.0	203	555	27..375	58.17	100.00	36.58	['MACPF']	['ECO:0000255|PROSITE-ProRule:PRU00745']	3.0..174.0	172	288							0.518918919	172	0.597222222
WP_012256777.1	GasderMIN	GasderMIN	Chloroflexus aurantiacus	GCF_000018865_NC_010175_GasderMIN_2	GCF_000018865.1_NC_010175_00928	GCF_000018865.1_NC_010175_00928	1	202	A9WH26	A0A178BUB5	A0A6I4AZW5	E6Y8C6	0.008667	1	0.126	194	135	0	46	239	22	176	0.01488	15	unreviewed	E6Y8C6_HUMAN	Perforin-1 (Cytolysin) (Lymphocyte pore-forming protein)	PRF1	Homo sapiens (Human)			PRF1			killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	extracellular region [GO:0005576]; membrane [GO:0016020]	extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]; killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]	GO:0001909; GO:0005509; GO:0005576; GO:0016020; GO:0031640; GO:0140911	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"		46.0..239.0	194	555	27..375	55.59	100.00	34.95	['MACPF']	['ECO:0000259|PROSITE:PS51412']	22.0..176.0	155	288							0.518918919	155	0.538194444
WP_012256777.1	GasderMIN	GasderMIN	Chloroflexus aurantiacus	GCF_000018865_NC_010175_GasderMIN_2	GCF_000018865.1_NC_010175_00928	GCF_000018865.1_NC_010175_00928	1	202	A9WH26	A0A178BUB5	A0A6I4AZW5	P14222	0.008667	1	0.111	205	137	0	35	239	22	176	0.01684	16	reviewed	PERF_HUMAN	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP)	PRF1 PFP	Homo sapiens (Human)			PRF1	PFP	UP000005640: Chromosome 10	apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]; apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]	GO:0001771; GO:0001772; GO:0001913; GO:0002357; GO:0002418; GO:0005509; GO:0005576; GO:0005829; GO:0005886; GO:0006915; GO:0006968; GO:0009306; GO:0016020; GO:0017038; GO:0022829; GO:0031640; GO:0031904; GO:0042802; GO:0044194; GO:0051260; GO:0051607; GO:0051712; GO:0071806; GO:0140507; GO:0140911; GO:1904856	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"	"NP_001076585.1; NM_001083116.3.;""NP_005032.2; NM_005041.4."";"	35.0..239.0	205	555	27..375	58.74	100.00	36.94	['MACPF']	['ECO:0000255|PROSITE-ProRule:PRU00745']	22.0..176.0	155	288							0.518918919	155	0.538194444
WP_015941022.1	GasderMIN	GasderMIN	Chloroflexus aggregans	GCF_000021945_NC_011831_GasderMIN_1	GCF_000021945.1_NC_011831_02295	GCF_000021945.1_NC_011831_02295	1	202	B8GD97	A0A178BUB5	A0A6I4AZW5	E6Y8C6	0.008667	1	0.153	91	69	0	149	239	95	176	0.04391	14	unreviewed	E6Y8C6_HUMAN	Perforin-1 (Cytolysin) (Lymphocyte pore-forming protein)	PRF1	Homo sapiens (Human)			PRF1			killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	extracellular region [GO:0005576]; membrane [GO:0016020]	extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]; killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]	GO:0001909; GO:0005509; GO:0005576; GO:0016020; GO:0031640; GO:0140911	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"		149.0..239.0	91	555	27..375	26.07	100.00	16.40	['MACPF']	['ECO:0000259|PROSITE:PS51412']	95.0..176.0	82	276							0.497297297	82	0.297101449
WP_015941022.1	GasderMIN	GasderMIN	Chloroflexus aggregans	GCF_000021945_NC_011831_GasderMIN_1	GCF_000021945.1_NC_011831_02295	GCF_000021945.1_NC_011831_02295	1	202	B8GD97	A0A178BUB5	A0A6I4AZW5	P14222	0.008667	1	0.111	153	115	0	87	239	47	176	0.05755	10	reviewed	PERF_HUMAN	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP)	PRF1 PFP	Homo sapiens (Human)			PRF1	PFP	UP000005640: Chromosome 10	apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]; apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]	GO:0001771; GO:0001772; GO:0001913; GO:0002357; GO:0002418; GO:0005509; GO:0005576; GO:0005829; GO:0005886; GO:0006915; GO:0006968; GO:0009306; GO:0016020; GO:0017038; GO:0022829; GO:0031640; GO:0031904; GO:0042802; GO:0044194; GO:0051260; GO:0051607; GO:0051712; GO:0071806; GO:0140507; GO:0140911; GO:1904856	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"	"NP_001076585.1; NM_001083116.3.;""NP_005032.2; NM_005041.4."";"	87.0..239.0	153	555	27..375	43.84	100.00	27.57	['MACPF']	['ECO:0000255|PROSITE-ProRule:PRU00745']	47.0..176.0	130	276							0.497297297	130	0.471014493
WP_066313922.1	GasderMIN	GasderMIN	Aquimarina sp. AD10	GCF_003443715_NZ_CP031965_GasderMIN_2	GCF_003443715.1_NZ_CP031965_04827	GCF_003443715.1_NZ_CP031965_04827	1	202	A0A162CPX3	A0A371D7X5	H2YAV0	Q8N5U0	0.008774	1	0.089	221	176	0	19	212	5	225	0.000001316	136	reviewed	CK042_HUMAN	Uncharacterized protein C11orf42	C11orf42	Homo sapiens (Human)			C11orf42		UP000005640: Chromosome 11		sperm flagellum [GO:0036126]	sperm flagellum [GO:0036126]		GO:0036126				IPR031366; DUF4663.;	"PTHR36872; GENE 5901-RELATED; 1.;""PTHR36872:SF1; GENE 5901-RELATED; 1."";"	PF15668; DUF4663; 1.;			NP_775796.2; NM_173525.3.;	19.0..212.0	194	333							5.0..225.0	221	234							0.702702703	194	0.829059829
WP_066313922.1	GasderMIN	GasderMIN	Aquimarina sp. AD10	GCF_003443715_NZ_CP031965_GasderMIN_2	GCF_003443715.1_NZ_CP031965_04827	GCF_003443715.1_NZ_CP031965_04827	1	202	A0A3A9VJ42	A0A371D7X5	H2YAV0	Q8N5U0	0.008774	1	0.091	230	178	0	23	219	4	233	6.414E-07	145	reviewed	CK042_HUMAN	Uncharacterized protein C11orf42	C11orf42	Homo sapiens (Human)			C11orf42		UP000005640: Chromosome 11		sperm flagellum [GO:0036126]	sperm flagellum [GO:0036126]		GO:0036126				IPR031366; DUF4663.;	"PTHR36872; GENE 5901-RELATED; 1.;""PTHR36872:SF1; GENE 5901-RELATED; 1."";"	PF15668; DUF4663; 1.;			NP_775796.2; NM_173525.3.;	23.0..219.0	197	333							4.0..233.0	230	234							0.702702703	197	0.841880342
WP_122933413.1	GasderMIN	GasderMIN	Runella sp. SP2	GCF_003711225_NZ_CP031030_GasderMIN_1	GCF_003711225.1_NZ_CP031030_05070	GCF_003711225.1_NZ_CP031030_05070	1	202	A0A3G3GXX0	A0A371D7X5	H2YAV0	Q8N5U0	0.008774	1	0.086	221	173	0	23	212	5	225	0.000003977	124	reviewed	CK042_HUMAN	Uncharacterized protein C11orf42	C11orf42	Homo sapiens (Human)			C11orf42		UP000005640: Chromosome 11		sperm flagellum [GO:0036126]	sperm flagellum [GO:0036126]		GO:0036126				IPR031366; DUF4663.;	"PTHR36872; GENE 5901-RELATED; 1.;""PTHR36872:SF1; GENE 5901-RELATED; 1."";"	PF15668; DUF4663; 1.;			NP_775796.2; NM_173525.3.;	23.0..212.0	190	333							5.0..225.0	221	234							0.702702703	190	0.811965812
WP_147583402.1	GasderMIN	GasderMIN	Flavobacterium alkalisoli	GCF_008000935_NZ_CP042831_GasderMIN_2	GCF_008000935.1_NZ_CP042831_02015	GCF_008000935.1_NZ_CP042831_02015	1	202	A0A5B9FUL3	A0A371D7X5	H2YAV0	Q8N5U0	0.008774	1	0.069	221	176	0	23	212	4	224	0.00001268	106	reviewed	CK042_HUMAN	Uncharacterized protein C11orf42	C11orf42	Homo sapiens (Human)			C11orf42		UP000005640: Chromosome 11		sperm flagellum [GO:0036126]	sperm flagellum [GO:0036126]		GO:0036126				IPR031366; DUF4663.;	"PTHR36872; GENE 5901-RELATED; 1.;""PTHR36872:SF1; GENE 5901-RELATED; 1."";"	PF15668; DUF4663; 1.;			NP_775796.2; NM_173525.3.;	23.0..212.0	190	333							4.0..224.0	221	233							0.6996997	190	0.815450644
